craft_id,craft_name,category,material_cost,labor_hours,weight_kg,is_gi_tagged,complexity_score,artisan_experience_years,texture_roughness_index,organic_dye_purity,is_genuine_handmade,sample_dialect_phrase,protected_artisan_wage,fair_market_price
SIH-CRAFT-0160,Saharanpur Wood Carving,Wood Carving,358.48,2.7,4.22,0,2,0,0.354,0.078,0,लकड़ी का झरोखा,153.09,788.66
SIH-CRAFT-0161,Mithila Madhubani Painting,Madhubani,426.67,10.2,0.56,1,4,31,0.849,0.824,1,पेड़ और मोर,2739.6,4746.96
SIH-CRAFT-0162,Saharanpur Wood Carving,Wood Carving,1126.81,27.9,3.07,1,5,20,0.861,0.93,1,शीशम की लकड़ी की जाली,6577.5,10873.32
SIH-CRAFT-0163,Jaipur Blue Pottery,Blue Pottery,573.42,13.2,2.25,1,3,4,0.697,0.876,1,क्वार्ट्ज प्लेट,2977.2,5265.84
SIH-CRAFT-0164,Gorakhpur Terracotta,Terracotta,220.8,10.1,1.59,1,1,12,0.874,0.975,1,हाथ से बनी मटकी,1917.2,3358.8
SIH-CRAFT-0165,Bastar Dhokra Bell Metal,Dhokra Art,1131.31,21.6,1.87,1,5,20,0.732,0.733,1,बेल मेटल बैल,5700.0,9694.77
SIH-CRAFT-0166,Mithila Madhubani Painting,Madhubani,462.84,23.7,0.28,1,4,31,0.721,0.877,1,पेड़ और मोर,5750.1,8859.97
SIH-CRAFT-0167,Varanasi Silk Handloom,Handloom Silk,2861.5,35.9,1.12,1,4,8,0.917,0.981,1,हाथ का ताना-बाना,9023.2,16516.85
SIH-CRAFT-0168,Saharanpur Wood Carving,Wood Carving,950.0,13.0,1.91,1,3,14,0.912,0.848,1,शीशम की लकड़ी की जाली,2823.0,5566.05
SIH-CRAFT-0169,Varanasi Silk Handloom,Handloom Silk,1444.49,37.7,0.69,1,5,26,0.804,0.985,1,शुद्ध रेशमी साड़ी,10192.0,16181.76
SIH-CRAFT-0170,Zari Zardozi Embroidery,Zari Embroidery,207.61,3.0,0.8,0,2,4,0.244,0.193,0,मखमली सूट पीस,170.1,456.74
SIH-CRAFT-0171,Jaipur Blue Pottery,Blue Pottery,524.37,7.0,1.62,1,4,11,0.94,0.926,1,हस्तशिल्प जार,1796.0,3605.0
SIH-CRAFT-0172,Zari Zardozi Embroidery,Zari Embroidery,1464.58,20.8,0.94,0,2,10,0.821,0.788,1,जरदोज़ी का काम,4081.2,7486.8
SIH-CRAFT-0173,Saharanpur Wood Carving,Wood Carving,250.19,4.3,2.72,0,2,0,0.188,0.272,0,लकड़ी का झरोखा,243.81,550.42
SIH-CRAFT-0174,Moradabad Brassware,Brass Craft,963.39,18.7,3.76,1,3,40,0.961,0.745,1,हाथ की ढलाई,4452.2,7783.55
SIH-CRAFT-0175,Zari Zardozi Embroidery,Zari Embroidery,1085.4,31.1,0.69,0,2,8,0.665,0.886,1,मखमली सूट पीस,5997.9,9562.45
SIH-CRAFT-0176,Moradabad Brassware,Brass Craft,1520.35,16.3,4.38,1,5,37,0.746,0.977,1,ब्रास पूजा थाली,4304.0,8335.37
SIH-CRAFT-0177,Varanasi Silk Handloom,Handloom Silk,2475.48,29.1,0.46,1,3,13,0.795,0.84,1,शुद्ध रेशमी साड़ी,7062.6,13348.91
SIH-CRAFT-0178,Saharanpur Wood Carving,Wood Carving,712.58,23.2,3.52,1,4,28,0.693,0.807,1,लकड़ी का झरोखा,5361.6,8672.64
SIH-CRAFT-0179,Jaipur Blue Pottery,Blue Pottery,606.56,9.7,1.15,1,2,6,0.746,0.811,1,हस्तशिल्प जार,2117.3,4149.71
SIH-CRAFT-0180,Kutch Bandhani & Ajrakh,Bandhani,992.25,8.6,0.43,1,4,23,0.713,0.746,1,प्राकृतिक नील रंग,2219.8,4808.77
SIH-CRAFT-0181,Bastar Dhokra Bell Metal,Dhokra Art,839.39,10.5,3.35,1,5,32,0.969,0.762,1,मोम की ढलाई कला,3105.0,5797.43
SIH-CRAFT-0182,Gorakhpur Terracotta,Terracotta,298.47,12.7,2.46,1,4,21,0.827,0.946,1,धूपदानी,2956.6,4866.84
SIH-CRAFT-0183,Mithila Madhubani Painting,Madhubani,260.05,4.4,0.36,0,2,0,0.3,0.118,0,प्राकृतिक रंग चित्र,262.68,572.11
SIH-CRAFT-0184,Jaipur Blue Pottery,Blue Pottery,597.69,13.7,2.42,1,2,11,0.972,0.814,1,क्वार्ट्ज प्लेट,3028.3,5367.59
SIH-CRAFT-0185,Kolhapuri Chappal & Leather,Leather Craft,321.19,1.1,0.81,0,1,0,0.114,0.3,0,प्राकृतिक चमड़ा,56.76,706.62
SIH-CRAFT-0186,Kolhapuri Chappal & Leather,Leather Craft,713.76,10.7,0.66,1,3,13,0.78,0.879,1,प्राकृतिक चमड़ा,2292.2,4530.55
SIH-CRAFT-0187,Zari Zardozi Embroidery,Zari Embroidery,1319.7,23.3,0.8,0,4,33,0.919,0.807,1,मखमली सूट पीस,5457.9,9149.76
SIH-CRAFT-0188,Jaipur Blue Pottery,Blue Pottery,268.41,2.6,2.2,0,1,4,0.266,0.388,0,हस्तशिल्प जार,153.66,590.5
SIH-CRAFT-0189,Zari Zardozi Embroidery,Zari Embroidery,503.92,22.0,0.67,0,5,12,0.921,0.77,1,मखमली सूट पीस,5130.0,7605.79
SIH-CRAFT-0190,Jaipur Blue Pottery,Blue Pottery,592.57,11.9,1.51,1,3,29,0.816,0.877,1,क्वार्ट्ज प्लेट,3064.9,5410.08
SIH-CRAFT-0191,Gorakhpur Terracotta,Terracotta,305.6,9.2,3.49,1,4,36,0.774,0.977,1,धूपदानी,2453.6,4197.42
SIH-CRAFT-0192,Kolhapuri Chappal & Leather,Leather Craft,562.57,13.5,0.98,1,3,33,0.713,0.771,1,हाथ की सिलाई,3141.0,5472.32
SIH-CRAFT-0193,Moradabad Brassware,Brass Craft,1767.49,14.0,2.8,1,3,34,0.755,0.801,1,हाथ की ढलाई,3394.0,7440.51
SIH-CRAFT-0194,Moradabad Brassware,Brass Craft,1288.17,18.9,5.53,1,5,25,0.965,0.933,1,ब्रास पूजा थाली,4722.0,8586.23
SIH-CRAFT-0195,Gorakhpur Terracotta,Terracotta,364.24,6.8,1.83,1,3,33,0.721,0.94,1,हाथ से बनी मटकी,1827.8,3431.75
SIH-CRAFT-0196,Kolhapuri Chappal & Leather,Leather Craft,432.36,11.8,0.87,1,2,6,0.871,0.854,1,हाथ की सिलाई,2261.2,4108.81
SIH-CRAFT-0197,Varanasi Silk Handloom,Handloom Silk,1850.59,47.6,0.48,1,3,3,0.968,0.984,1,शुद्ध रेशमी साड़ी,11278.6,18196.91
SIH-CRAFT-0198,Kutch Bandhani & Ajrakh,Bandhani,1004.52,13.6,0.66,1,3,23,0.744,0.717,1,कच्छी बंधेज दुपट्टा,3146.6,6076.51
SIH-CRAFT-0199,Zari Zardozi Embroidery,Zari Embroidery,1225.62,31.3,0.33,0,3,29,0.941,0.751,1,जरदोज़ी का काम,6726.3,10735.09
SIH-CRAFT-0200,Kutch Bandhani & Ajrakh,Bandhani,449.05,18.0,0.81,1,3,5,0.653,0.865,1,कच्छी बंधेज दुपट्टा,3783.0,6185.77
SIH-CRAFT-0201,Saharanpur Wood Carving,Wood Carving,1389.1,19.0,2.63,1,3,35,0.804,0.756,1,शीशम की लकड़ी की जाली,4344.0,8212.19
SIH-CRAFT-0202,Saharanpur Wood Carving,Wood Carving,858.91,12.2,1.49,1,4,21,0.837,0.92,1,शीशम की लकड़ी की जाली,2913.6,5565.39
SIH-CRAFT-0203,Zari Zardozi Embroidery,Zari Embroidery,556.76,4.6,0.66,0,1,3,0.334,0.115,0,जरदोज़ी का काम,244.26,1224.87
SIH-CRAFT-0204,Bastar Dhokra Bell Metal,Dhokra Art,772.85,15.7,1.44,1,4,24,0.75,0.91,1,ढोकरा आदिवासी मूर्ति,4096.6,7046.26
SIH-CRAFT-0205,Moradabad Brassware,Brass Craft,1431.32,9.2,2.03,1,4,13,0.784,0.846,1,हाथ की ढलाई,2200.6,5375.59
SIH-CRAFT-0206,Moradabad Brassware,Brass Craft,1366.45,26.8,3.15,1,3,17,0.966,0.839,1,ब्रास पूजा थाली,5775.8,10114.54
SIH-CRAFT-0207,Zari Zardozi Embroidery,Zari Embroidery,1187.04,32.8,0.83,0,3,18,0.875,0.873,1,जरदोज़ी का काम,6862.8,10867.28
SIH-CRAFT-0208,Kolhapuri Chappal & Leather,Leather Craft,772.26,5.9,0.85,1,1,38,0.948,0.759,1,हाथ की सिलाई,1584.8,3654.53
SIH-CRAFT-0209,Mithila Madhubani Painting,Madhubani,719.97,20.4,0.58,1,5,40,0.811,0.961,1,पेड़ और मोर,5394.0,8726.36
SIH-CRAFT-0210,Gorakhpur Terracotta,Terracotta,303.97,8.0,0.67,1,4,22,0.889,0.815,1,माटी का घड़ा,1994.0,3574.76
SIH-CRAFT-0211,Varanasi Silk Handloom,Handloom Silk,1004.17,31.2,0.45,1,3,7,0.975,0.837,1,हाथ का ताना-बाना,7468.2,11910.2
SIH-CRAFT-0212,Kutch Bandhani & Ajrakh,Bandhani,408.34,16.3,0.71,1,3,26,0.978,0.811,1,अजरख ब्लॉक प्रिंट,3747.8,6083.29
SIH-CRAFT-0213,Kutch Bandhani & Ajrakh,Bandhani,1071.32,20.0,0.29,1,3,10,0.709,0.856,1,प्राकृतिक नील रंग,4270.0,7683.28
SIH-CRAFT-0214,Mithila Madhubani Painting,Madhubani,372.48,8.1,0.12,1,4,32,0.872,0.858,1,पेड़ और मोर,2286.3,4061.85
SIH-CRAFT-0215,Varanasi Silk Handloom,Handloom Silk,1696.17,28.1,1.15,1,5,10,0.661,0.891,1,बनारसी कतान सिल्क,7456.0,12827.93
SIH-CRAFT-0216,Varanasi Silk Handloom,Handloom Silk,1132.06,17.5,0.88,1,5,6,0.731,0.713,1,जरी पल्लू,4640.0,8264.78
SIH-CRAFT-0217,Varanasi Silk Handloom,Handloom Silk,2635.09,50.1,0.51,1,4,17,0.919,0.912,1,हाथ का ताना-बाना,12679.8,21147.6
SIH-CRAFT-0218,Zari Zardozi Embroidery,Zari Embroidery,1156.16,18.0,0.51,0,3,36,0.723,0.787,1,जरदोज़ी का काम,4158.0,7174.12
SIH-CRAFT-0219,Kolhapuri Chappal & Leather,Leather Craft,351.13,2.3,0.9,0,2,4,0.273,0.39,0,हाथ की सिलाई,126.96,772.49
SIH-CRAFT-0220,Kutch Bandhani & Ajrakh,Bandhani,554.99,12.7,0.3,1,3,14,0.899,0.837,1,कच्छी बंधेज दुपट्टा,2826.2,5037.11
SIH-CRAFT-0221,Moradabad Brassware,Brass Craft,309.29,2.6,1.76,0,2,3,0.295,0.097,0,पीतल का नक्काशीदार दीया,151.32,680.44
SIH-CRAFT-0222,Moradabad Brassware,Brass Craft,1376.05,26.4,5.31,1,2,37,0.889,0.755,1,ब्रास पूजा थाली,5676.6,9993.58
SIH-CRAFT-0223,Kutch Bandhani & Ajrakh,Bandhani,782.34,20.0,0.33,1,4,38,0.722,0.761,1,अजरख ब्लॉक प्रिंट,4930.0,8184.16
SIH-CRAFT-0224,Moradabad Brassware,Brass Craft,247.36,4.0,5.83,0,1,5,0.45,0.218,0,पीतल का नक्काशीदार दीया,218.4,544.19
SIH-CRAFT-0225,Zari Zardozi Embroidery,Zari Embroidery,866.46,16.0,0.53,0,4,27,0.804,0.888,1,सच्ची जरी कढ़ाई,3813.0,6317.27
SIH-CRAFT-0226,Moradabad Brassware,Brass Craft,1659.37,17.3,5.11,1,5,23,0.952,0.808,1,ब्रास पूजा थाली,4324.0,8550.05
SIH-CRAFT-0227,Gorakhpur Terracotta,Terracotta,216.38,4.6,1.28,1,4,21,0.7,0.796,1,धूपदानी,1271.8,2481.54
SIH-CRAFT-0228,Zari Zardozi Embroidery,Zari Embroidery,974.27,26.4,0.78,0,4,34,0.969,0.886,1,सच्ची जरी कढ़ाई,6133.2,9595.08
SIH-CRAFT-0229,Bastar Dhokra Bell Metal,Dhokra Art,1374.47,13.7,2.74,1,4,14,0.953,0.857,1,बेल मेटल बैल,3470.6,7013.34
SIH-CRAFT-0230,Gorakhpur Terracotta,Terracotta,401.72,3.8,2.95,1,1,3,0.786,0.944,1,टेराकोटा सुराही,698.6,1957.93
SIH-CRAFT-0231,Jaipur Blue Pottery,Blue Pottery,355.03,13.1,1.42,1,5,34,0.655,0.854,1,क्वार्ट्ज प्लेट,3719.5,5973.12
SIH-CRAFT-0232,Gorakhpur Terracotta,Terracotta,366.66,8.9,1.36,1,4,14,0.685,0.728,1,टेराकोटा सुराही,2061.2,3750.11
SIH-CRAFT-0233,Varanasi Silk Handloom,Handloom Silk,2110.85,51.9,0.61,1,4,8,0.773,0.818,1,शुद्ध रेशमी साड़ी,12991.2,20860.27
SIH-CRAFT-0234,Varanasi Silk Handloom,Handloom Silk,2804.54,19.5,1.19,1,5,5,0.681,0.81,1,जरी पल्लू,5145.0,11204.38
SIH-CRAFT-0235,Gorakhpur Terracotta,Terracotta,360.85,3.9,3.04,1,3,39,0.973,0.982,1,माटी का घड़ा,1349.4,2781.34
SIH-CRAFT-0236,Varanasi Silk Handloom,Handloom Silk,2896.67,55.1,0.78,1,3,7,0.876,0.781,1,बनारसी कतान सिल्क,13108.6,22079.61
SIH-CRAFT-0237,Mithila Madhubani Painting,Madhubani,169.19,5.2,0.51,0,2,0,0.205,0.247,0,पेड़ और मोर,310.44,372.22
SIH-CRAFT-0238,Kolhapuri Chappal & Leather,Leather Craft,803.37,6.5,1.19,1,1,35,0.896,0.8,1,कोल्हापुरी हाथ की चप्पल,1643.0,3775.1
SIH-CRAFT-0239,Kutch Bandhani & Ajrakh,Bandhani,360.81,15.7,0.63,1,4,28,0.97,0.795,1,प्राकृतिक नील रंग,3842.6,6147.1
SIH-CRAFT-0240,Moradabad Brassware,Brass Craft,1140.66,12.6,3.99,1,5,30,0.711,0.87,1,ब्रास पूजा थाली,3348.0,6532.19
SIH-CRAFT-0241,Jaipur Blue Pottery,Blue Pottery,512.46,9.5,0.76,1,4,12,0.775,0.927,1,नीली मिट्टी का फूलदान,2393.5,4395.55
SIH-CRAFT-0242,Kutch Bandhani & Ajrakh,Bandhani,385.24,6.1,0.42,1,3,20,0.684,0.725,1,अजरख ब्लॉक प्रिंट,1556.6,3093.98
SIH-CRAFT-0243,Bastar Dhokra Bell Metal,Dhokra Art,1063.68,12.3,1.04,1,5,8,0.847,0.927,1,मोम की ढलाई कला,3195.0,6221.72
SIH-CRAFT-0244,Gorakhpur Terracotta,Terracotta,266.34,3.9,3.2,1,2,39,0.822,0.899,1,टेराकोटा सुराही,1302.6,2590.57
SIH-CRAFT-0245,Mithila Madhubani Painting,Madhubani,397.62,12.1,0.22,1,4,29,0.749,0.927,1,प्राकृतिक रंग चित्र,3133.3,5239.24
SIH-CRAFT-0246,Moradabad Brassware,Brass Craft,586.03,2.7,4.28,0,2,0,0.147,0.052,0,ब्रास पूजा थाली,157.14,1289.27
SIH-CRAFT-0247,Saharanpur Wood Carving,Wood Carving,779.89,26.7,2.43,1,5,11,0.749,0.875,1,लकड़ी का झरोखा,6172.5,9858.23
SIH-CRAFT-0248,Varanasi Silk Handloom,Handloom Silk,1308.57,33.5,0.66,1,5,34,0.969,0.927,1,हाथ का ताना-बाना,9220.0,14686.07
SIH-CRAFT-0249,Kutch Bandhani & Ajrakh,Bandhani,928.69,11.8,0.85,1,2,40,0.979,0.752,1,प्राकृतिक नील रंग,2889.2,5626.65
SIH-CRAFT-0250,Gorakhpur Terracotta,Terracotta,115.39,1.6,1.82,0,2,5,0.124,0.347,0,धूपदानी,88.32,253.86
SIH-CRAFT-0251,Bastar Dhokra Bell Metal,Dhokra Art,833.12,15.6,1.22,1,4,27,0.674,0.987,1,मोम की ढलाई कला,4117.8,7156.24
SIH-CRAFT-0252,Zari Zardozi Embroidery,Zari Embroidery,981.94,33.0,0.78,0,2,26,0.882,0.936,1,मखमली सूट पीस,6627.0,10272.07
SIH-CRAFT-0253,Jaipur Blue Pottery,Blue Pottery,486.53,15.3,0.97,1,2,39,0.975,0.896,1,क्वार्ट्ज प्लेट,3782.7,6235.96
SIH-CRAFT-0254,Saharanpur Wood Carving,Wood Carving,332.18,0.9,1.76,0,1,3,0.231,0.212,0,लकड़ी का झरोखा,47.79,730.8
SIH-CRAFT-0255,Zari Zardozi Embroidery,Zari Embroidery,608.28,34.9,0.64,0,4,29,0.954,0.725,1,मखमली सूट पीस,7868.7,11443.92
SIH-CRAFT-0256,Mithila Madhubani Painting,Madhubani,438.69,30.0,0.46,1,4,33,0.682,0.909,1,पेड़ और मोर,7185.0,10764.48
SIH-CRAFT-0257,Saharanpur Wood Carving,Wood Carving,444.68,23.1,0.88,1,4,9,0.873,0.748,1,लकड़ी का झरोखा,5055.3,7897.47
SIH-CRAFT-0258,Varanasi Silk Handloom,Handloom Silk,2169.39,30.6,0.74,1,4,17,0.913,0.883,1,शुद्ध रेशमी साड़ी,7843.8,13990.31
SIH-CRAFT-0259,Kutch Bandhani & Ajrakh,Bandhani,889.91,20.1,0.51,1,3,27,0.651,0.762,1,अजरख ब्लॉक प्रिंट,4545.6,7810.44
SIH-CRAFT-0260,Jaipur Blue Pottery,Blue Pottery,789.73,13.5,1.4,1,3,32,0.688,0.895,1,क्वार्ट्ज प्लेट,3463.5,6214.36
SIH-CRAFT-0261,Kolhapuri Chappal & Leather,Leather Craft,215.22,1.4,0.71,0,1,2,0.223,0.21,0,कोल्हापुरी हाथ की चप्पल,72.24,473.48
SIH-CRAFT-0262,Moradabad Brassware,Brass Craft,523.28,3.2,2.91,0,1,2,0.141,0.181,0,पीतल का नक्काशीदार दीया,174.72,1151.22
SIH-CRAFT-0263,Kolhapuri Chappal & Leather,Leather Craft,707.86,11.3,0.74,1,4,37,0.879,0.887,1,कोल्हापुरी हाथ की चप्पल,2905.4,5350.4
SIH-CRAFT-0264,Kolhapuri Chappal & Leather,Leather Craft,523.3,7.1,1.07,1,1,25,0.964,0.841,1,कोल्हापुरी हाथ की चप्पल,1596.2,3333.82
SIH-CRAFT-0265,Kutch Bandhani & Ajrakh,Bandhani,281.74,2.1,0.68,0,2,5,0.394,0.221,0,कच्छी बंधेज दुपट्टा,122.22,619.83
SIH-CRAFT-0266,Zari Zardozi Embroidery,Zari Embroidery,1249.11,17.3,0.49,0,4,13,0.908,0.864,1,सच्ची जरी कढ़ाई,3879.9,6924.16
SIH-CRAFT-0267,Kolhapuri Chappal & Leather,Leather Craft,693.63,7.9,0.83,1,3,37,0.921,0.712,1,हाथ की सिलाई,2103.4,4248.49
SIH-CRAFT-0268,Bastar Dhokra Bell Metal,Dhokra Art,1588.75,12.3,3.04,1,3,22,0.939,0.709,1,मोम की ढलाई कला,3109.8,6815.54
SIH-CRAFT-0269,Saharanpur Wood Carving,Wood Carving,194.79,4.0,1.23,0,1,1,0.384,0.256,0,हाथ से तराशा बॉक्स,212.4,428.54
SIH-CRAFT-0270,Zari Zardozi Embroidery,Zari Embroidery,624.28,13.5,0.44,0,3,6,0.838,0.854,1,मखमली सूट पीस,2803.5,4627.5
SIH-CRAFT-0271,Kolhapuri Chappal & Leather,Leather Craft,937.4,8.2,0.86,1,1,11,0.968,0.928,1,कोल्हापुरी हाथ की चप्पल,1575.4,3864.78
SIH-CRAFT-0272,Moradabad Brassware,Brass Craft,300.91,3.8,2.62,0,2,1,0.367,0.287,0,ब्रास पूजा थाली,221.16,662.0
SIH-CRAFT-0273,Mithila Madhubani Painting,Madhubani,397.79,19.6,0.42,1,5,8,0.783,0.917,1,प्राकृतिक रंग चित्र,4726.0,7389.62
SIH-CRAFT-0274,Bastar Dhokra Bell Metal,Dhokra Art,344.01,1.5,2.89,0,1,5,0.44,0.272,0,बेल मेटल बैल,90.9,756.82
SIH-CRAFT-0275,Saharanpur Wood Carving,Wood Carving,478.27,2.3,4.38,0,1,3,0.194,0.34,0,हाथ से तराशा बॉक्स,122.13,1052.19
SIH-CRAFT-0276,Kolhapuri Chappal & Leather,Leather Craft,689.69,10.3,0.67,1,1,5,0.683,0.927,1,प्राकृतिक चमड़ा,1846.6,3896.49
SIH-CRAFT-0277,Gorakhpur Terracotta,Terracotta,407.3,7.9,0.5,1,4,15,0.979,0.964,1,हाथ से बनी मटकी,1868.2,3544.43
SIH-CRAFT-0278,Mithila Madhubani Painting,Madhubani,292.85,1.6,0.35,0,1,2,0.333,0.277,0,मिथिला पेंटिंग,89.76,644.27
SIH-CRAFT-0279,Kutch Bandhani & Ajrakh,Bandhani,880.79,18.1,0.5,1,2,9,0.65,0.838,1,कच्छी बंधेज दुपट्टा,3646.4,6584.21
SIH-CRAFT-0280,Zari Zardozi Embroidery,Zari Embroidery,1163.98,10.2,0.79,0,2,30,0.879,0.839,1,जरदोज़ी का काम,2377.8,4781.4
SIH-CRAFT-0281,Kutch Bandhani & Ajrakh,Bandhani,944.77,7.7,0.46,1,3,11,0.776,0.936,1,कच्छी बंधेज दुपट्टा,1751.2,4112.06
SIH-CRAFT-0282,Mithila Madhubani Painting,Madhubani,559.81,25.1,0.21,1,4,16,0.857,0.744,1,पेड़ और मोर,5837.3,9108.6
SIH-CRAFT-0283,Zari Zardozi Embroidery,Zari Embroidery,1352.96,12.2,0.37,0,2,40,0.891,0.802,1,सच्ची जरी कढ़ाई,2905.8,5749.33
SIH-CRAFT-0284,Saharanpur Wood Carving,Wood Carving,647.79,21.5,1.72,1,4,4,0.93,0.891,1,हाथ से तराशा बॉक्स,4639.5,7610.34
SIH-CRAFT-0285,Varanasi Silk Handloom,Handloom Silk,2071.9,48.9,0.64,1,3,18,0.813,0.733,1,जरी पल्लू,11810.4,19213.6
SIH-CRAFT-0286,Zari Zardozi Embroidery,Zari Embroidery,1383.16,10.3,0.55,0,4,11,0.778,0.943,1,सच्ची जरी कढ़ाई,2358.9,5051.78
SIH-CRAFT-0287,Saharanpur Wood Carving,Wood Carving,572.77,17.3,4.45,1,2,4,0.844,0.704,1,शीशम की लकड़ी की जाली,3329.7,5740.83
SIH-CRAFT-0288,Gorakhpur Terracotta,Terracotta,173.84,1.1,1.36,0,2,3,0.346,0.079,0,टेराकोटा सुराही,60.72,382.45
SIH-CRAFT-0289,Moradabad Brassware,Brass Craft,694.83,26.4,5.88,1,3,37,0.758,0.87,1,हाथ की ढलाई,5993.4,9501.61
SIH-CRAFT-0290,Jaipur Blue Pottery,Blue Pottery,590.62,19.3,1.13,1,3,8,0.955,0.734,1,हस्तशिल्प जार,4385.3,7189.99
SIH-CRAFT-0291,Zari Zardozi Embroidery,Zari Embroidery,1149.38,26.5,0.42,0,2,11,0.881,0.748,1,सच्ची जरी कढ़ाई,5173.5,8535.89
SIH-CRAFT-0292,Kolhapuri Chappal & Leather,Leather Craft,843.5,7.9,0.7,1,3,10,0.905,0.709,1,प्राकृतिक चमड़ा,1698.4,3904.07
SIH-CRAFT-0293,Moradabad Brassware,Brass Craft,915.54,27.5,4.32,1,5,32,0.819,0.716,1,हाथ की ढलाई,6805.0,10895.23
SIH-CRAFT-0294,Mithila Madhubani Painting,Madhubani,390.31,10.9,0.5,1,5,10,0.725,0.848,1,मिथिला पेंटिंग,2711.5,4659.94
SIH-CRAFT-0295,Gorakhpur Terracotta,Terracotta,291.53,7.2,0.95,1,1,38,0.915,0.907,1,धूपदानी,1808.4,3307.41
SIH-CRAFT-0296,Varanasi Silk Handloom,Handloom Silk,1857.39,47.7,0.62,1,3,39,0.773,0.846,1,बनारसी कतान सिल्क,11842.2,18966.95
SIH-CRAFT-0297,Mithila Madhubani Painting,Madhubani,533.68,9.3,0.38,1,4,21,0.905,0.79,1,मिथिला पेंटिंग,2388.9,4417.98
SIH-CRAFT-0298,Kolhapuri Chappal & Leather,Leather Craft,571.35,8.2,1.03,1,2,32,0.772,0.982,1,कोल्हापुरी हाथ की चप्पल,1988.8,3928.7
SIH-CRAFT-0299,Kolhapuri Chappal & Leather,Leather Craft,497.08,5.1,0.73,1,2,37,0.764,0.943,1,कोल्हापुरी हाथ की चप्पल,1493.4,3159.65
SIH-CRAFT-0300,Saharanpur Wood Carving,Wood Carving,1057.3,26.4,3.49,1,2,16,0.825,0.769,1,हाथ से तराशा बॉक्स,5229.6,8959.82
SIH-CRAFT-0301,Gorakhpur Terracotta,Terracotta,77.08,0.9,0.63,0,1,4,0.245,0.363,0,धूपदानी,46.44,169.58
SIH-CRAFT-0302,Jaipur Blue Pottery,Blue Pottery,627.99,14.9,1.47,1,2,30,0.869,0.738,1,क्वार्ट्ज प्लेट,3564.1,6131.82
SIH-CRAFT-0303,Moradabad Brassware,Brass Craft,684.5,2.4,5.24,0,2,2,0.258,0.132,0,पीतल का नक्काशीदार दीया,139.68,1505.9
SIH-CRAFT-0304,Mithila Madhubani Painting,Madhubani,571.59,12.4,0.22,1,4,23,0.784,0.855,1,गोबर लीपा कैनवास,3110.2,5442.92
SIH-CRAFT-0305,Bastar Dhokra Bell Metal,Dhokra Art,791.51,12.6,1.23,1,5,22,0.923,0.902,1,ढोकरा आदिवासी मूर्ति,3480.0,6239.04
SIH-CRAFT-0306,Varanasi Silk Handloom,Handloom Silk,1653.93,20.0,0.6,1,4,28,0.819,0.896,1,हाथ का ताना-बाना,5380.0,9968.31
SIH-CRAFT-0307,Mithila Madhubani Painting,Madhubani,472.42,20.7,0.62,1,3,9,0.802,0.933,1,गोबर लीपा कैनवास,4502.7,7188.91
SIH-CRAFT-0308,Jaipur Blue Pottery,Blue Pottery,806.7,19.8,0.89,1,5,26,0.876,0.972,1,नीली मिट्टी का फूलदान,5241.0,8636.9
SIH-CRAFT-0309,Zari Zardozi Embroidery,Zari Embroidery,1413.3,11.9,1.0,0,3,31,0.917,0.727,1,सच्ची जरी कढ़ाई,2856.9,5764.77
SIH-CRAFT-0310,Jaipur Blue Pottery,Blue Pottery,603.55,8.4,1.86,1,5,34,0.66,0.898,1,नीली मिट्टी का फूलदान,2568.0,4754.09
SIH-CRAFT-0311,Saharanpur Wood Carving,Wood Carving,587.15,12.7,4.07,1,2,18,0.864,0.845,1,लकड़ी का झरोखा,2670.3,4870.06
SIH-CRAFT-0312,Bastar Dhokra Bell Metal,Dhokra Art,807.75,13.0,1.34,1,5,18,0.858,0.933,1,ढोकरा आदिवासी मूर्ति,3520.0,6314.96
SIH-CRAFT-0313,Kutch Bandhani & Ajrakh,Bandhani,587.29,14.7,0.54,1,4,35,0.756,0.778,1,कच्छी बंधेज दुपट्टा,3729.6,6300.3
SIH-CRAFT-0314,Saharanpur Wood Carving,Wood Carving,429.3,25.5,1.84,1,5,36,0.768,0.869,1,शीशम की लकड़ी की जाली,6277.5,9526.68
SIH-CRAFT-0315,Mithila Madhubani Painting,Madhubani,611.28,15.5,0.67,1,5,6,0.902,0.975,1,पेड़ और मोर,3732.5,6336.6
SIH-CRAFT-0316,Saharanpur Wood Carving,Wood Carving,556.62,1.5,1.68,0,2,5,0.344,0.37,0,शीशम की लकड़ी की जाली,85.05,1224.56
SIH-CRAFT-0317,Saharanpur Wood Carving,Wood Carving,385.44,2.9,1.5,0,2,4,0.208,0.222,0,शीशम की लकड़ी की जाली,164.43,847.97
SIH-CRAFT-0318,Gorakhpur Terracotta,Terracotta,215.64,8.8,0.5,1,2,11,0.762,0.751,1,हाथ से बनी मटकी,1784.2,3172.28
SIH-CRAFT-0319,Gorakhpur Terracotta,Terracotta,325.98,13.1,2.82,1,3,7,0.773,0.973,1,धूपदानी,2672.6,4520.58
SIH-CRAFT-0320,Zari Zardozi Embroidery,Zari Embroidery,766.85,13.4,0.41,0,5,34,0.864,0.751,1,मखमली सूट पीस,3525.0,5794.0
SIH-CRAFT-0321,Zari Zardozi Embroidery,Zari Embroidery,684.4,24.7,0.42,0,4,21,0.692,0.911,1,मखमली सूट पीस,5576.1,8451.67
